endTime,artistName,trackName,msPlayed
2023-11-29 07:12,Bud Powell Trio,Off Minor - 1990 Remaster,143733
2023-11-29 07:14,Thelonious Monk,Mood Indigo,1474
2023-11-29 07:14,Thelonious Monk,I Should Care,117440
2023-11-29 07:22,Herbie Mann,Memphis Underground,429000
2023-11-29 09:34,Herbie Mann,Push Push (feat. Duane Allman),5125
2023-11-29 09:35,Mulatu Astatke,Tezeta,5099
2023-11-29 09:47,Herbie Mann,The Butterfly in a Stone Garden,76138
2023-11-29 10:04,Tom Waits,Semi Suite,209266
2023-11-29 10:07,Tom Waits,San Diego Serenade,210226
2023-11-29 10:10,Tom Waits,Fumblin' With The Blues,182893
2023-11-29 10:14,Tom Waits,Ol' 55,236480
2023-11-29 10:18,Tom Waits,New Coat Of Paint,202960
2023-11-29 10:21,Tom Waits,The Ghosts Of Saturday Night (After Hours At Napoleone's Pizza House),197040
2023-11-29 10:32,Tom Waits,"Depot, Depot",54281
2023-11-29 11:25,The Spencer Davis Group,Keep On Running - Mono Version,166573
2023-11-29 11:26,Shuggie Otis,Sweet Thang,3453
2023-11-29 11:26,John McLaughlin,Peace One,19291
2023-11-29 11:27,Paul Simon,Gumboots (with Boyoyo Boys),1566
2023-11-29 11:27,Buzzcocks,Why Can't I Touch It? - 2001 Remastered Version,45751
2023-11-29 11:27,Paul Simon,I Know What I Know (with General M.D.Shirinda & The Gaza Sisters),1485
2023-11-29 11:27,Ry Cooder,"Paris, Texas",1570
2023-11-29 11:27,Cymande,Dove,19394
2023-11-29 11:29,Charlie Parker Quartet,Star Eyes - Incomplete & False Start,70133
2023-11-29 11:30,Thelonious Monk Septet,Epistrophy - Fragment,106200
2023-11-29 11:38,Herbie Hancock,Watermelon Man - Remastered,429266
2023-11-29 11:43,Yusef Lateef,The Plum Blossom - Rudy Van Gelder Remaster,295066
2023-11-29 11:45,Thelonious Monk,Dinah (Take 2),148933
2023-11-29 11:47,Lennie Tristano,Inflight,125720
2023-11-29 11:54,Charles Mingus,Better Git It in Your Soul,440840
2023-11-29 11:58,Kenny Drew,Four And Five,196000
2023-11-29 12:00,Dizzy Gillespie,An Oscar For Treadwell - Incomplete 411-1,113520
2023-11-29 12:02,Yusef Lateef,Don't Blame Me - Rudy Van Gelder Remaster,84711
2023-11-29 12:03,Steve Reich,Music for 18 Musicians: Section I,58868
2023-11-29 12:04,Terry Riley,Descending Moonshine Dervishes,27184
2023-11-29 12:14,Joachim Kühn,Youmala,37269
2023-11-29 12:45,Terry Riley,The Protege,174893
2023-11-29 12:47,Terry Riley,Long Bus Ride,102076
2023-11-29 12:49,Terry Riley,M - Music I - Inside C - Curved E-Entrances,131213
2023-11-29 12:54,Terry Riley,The Harp of New Albion: IV. Cadence on the Wind,305200
2023-11-29 13:13,Terry Riley,Journey From The Death Of A Friend,1108053
2023-11-29 13:16,Terry Riley,Descending Moonshine Dervishes,145322
2023-11-29 13:26,Terry Riley,Part II - Live 1974,2474
2023-11-29 15:06,Joachim Kühn,Kalimba Call,289520
2023-11-29 15:11,Joachim Kühn,Rabih's Delight,288773
2023-11-29 15:12,Joachim Kühn,Hamdouchi,70809
2023-11-29 15:45,Terry Riley,A Rainbow in the Curved Air - Instrumental,633194
2023-11-29 19:07,Arlo Guthrie,Coming into Los Angeles - Remastered,186506
2023-11-29 19:19,Frank Zappa,Peaches En Regalia,218893
2023-11-29 19:19,Jethro Tull,Aqualung,5832
2023-11-29 19:22,The Rolling Stones,Street Fighting Man - 50th Anniversary Edition,195146
2023-11-29 19:32,Yes,Siberian Khatru - 2003 Remaster,532946
2023-11-29 19:33,Jethro Tull,We Used to Know,6716
2023-11-29 19:36,The Rolling Stones,Sittin' On A Fence,182853
2023-11-29 19:45,George Harrison,Wah-Wah (2014 Remaster),337750
2023-11-29 19:50,Rush,Leave That Thing Alone - 2004 Remaster,245826
2023-11-29 19:54,Tangerine Dream,Stratosfear,22340
2023-11-29 19:54,The Rolling Stones,Moonlight Mile - 2009 Mix,3042
2023-11-29 19:59,Masayoshi Takanaka,トーキョーレギー,260333
2023-11-29 19:59,Grateful Dead,Estimated Prophet - 2014 Remaster,2596
2023-11-29 20:00,Joachim Kühn,Hamdouchi,1942
2023-11-29 20:00,The Doors,The Crystal Ship,33086
2023-11-29 20:02,Joachim Kühn,Youmala,64287
2023-11-29 20:03,Tord Gustavsen Quartet,Glasgow Intro,73666
